_id,Up_System,predicted,manual,title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
390,0A,0,,Battle Cry of Freedom: The Civil War Era,James M. McPherson ,Paperback,$13.29,$19.95,9.78019516895e+12,Oxford University Press; 1st edition,12/11/03,909.0,9.2(w) x 5.9(h) x 1.7(d)
4515,0B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
1558,1A,0,,The Collector (Back Bay Books),John Fowles ,Paperback,$11.90,$15.00,9.78031629023e+12,Back Bay Books; Reprint edition,08/04/97,320.0,5.5(w) x 8.5(h) x 0.8(d)
4515,1B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
594,2A,0,,Persepolis 2: The Story of a Return (Pantheon Graphic Library),Marjane Satrapi ,Paperback,$7.20,$14.95,9.78037571466e+12,Pantheon,08/02/05,192.0,6(w) x 8.9(h) x 0.6(d)
4515,2B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
1410,3A,0,,Deadly Class Volume 4: Die for Me,Rick Remender and Wes Craig ,Paperback,$11.99,$14.99,9.78163215719e+12,Image Comics,08/09/16,136.0,6.5(w) x 9.9(h) x 0.5(d)
4515,3B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
3626,4A,1,,Alexander Hamilton,Ron Chernow ,Paperback,$17.22,$20.00,9.78014303476e+12,Penguin Books,03/29/05,832.0,6.2(w) x 9.3(h) x 1.9(d)
299,4B,1,,Alexander Hamilton,Ron Chernow,Paperback,$18.54,$20.00,9780143034759,Penguin Publishing Group,03/28/2005,832.0,9.10(w) x 6.00(h) x 1.80(d)
1733,5A,1,,The Handmaid's Tale,Margaret Atwood ,Paperback,$10.94,$15.95,9.78038549082e+12,Anchor; 1st Anchor Books edition,03/16/98,311.0,5.1(w) x 7.9(h) x 0.7(d)
